,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
0,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0
1,,,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79
2,,,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0
3,,,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93
4,,,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13
5,,,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5
6,,,16h09m30.30s,-21d04m58.9s,4060.0,0.85,
7,,,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64
8,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
9,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
10,,,01h03m35.63s,-55d15m56.1s,,0.19,
11,,,01h22m50.94s,-24d39m50.6s,3530.0,0.4,
12,,,02h19m22.11s,-39d25m22.5s,3064.0,0.11,0.28
13,,,04h41m44.90s,+23d01m51.4s,,0.02,
14,,,12h07m33.47s,-39d32m54.0s,,0.02,
15,,,19h38m32.61s,+46d03m59.1s,,0.48,
16,46.2,,21h40m29.32s,+16d25m18.3s,2300.0,0.08,0.12
17,,,22h36m24.53s,+47d51m42.6s,4045.0,0.6,
18,,,02h36m57.74s,+24d38m53.0s,6331.0,1.93,1.41
19,,,08h40m12.82s,+64d19m40.6s,4415.0,1.23,18.11
20,,,18h25m59.14s,+65d33m48.5s,4200.0,0.98,22.03
21,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
22,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
23,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
24,133.0,,04h37m36.13s,-02d28m24.8s,,1.75,
25,,,22h57m27.98s,+20d46m07.8s,5793.0,1.12,1.2
26,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
27,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
28,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
29,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
30,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
31,,,06h30m47.11s,+58d09m45.5s,4938.0,1.44,5.2
32,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
33,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
34,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
35,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
36,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
